Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, RESET1",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
"C10, C13",0402,2,15pF,
"C11, C18, C20, C24, C25, C27, C29, C31, C32",0402,9,100nF,
"C12, C14, C9",0402,3,18pF,
"C19, C21, C34, C36",0402,4,1uF,
C2,0402,1,6.8pF,
"C26, C28, C35, C37",0402,4,2.2uF,
C3,0402,1,2.7pF,
"C30, C33",0603,2,4.7uF,
C38,0402,1,1nF,
C4,0402,1,1.1pF,
C5,0402,1,1.2pF,
C6,0402,1,2pF,
C7,0402,1,47pF,
D1,0402,1,D_TVS,
"D3, D4, D5",0603,3,LED,
J2,U.FL_Molex_MCRF_73412-0110_Vertical,1,Conn_Coaxial,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J5,CUI_MSD-4-A,1,Micro_SD_Card_Det1,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
L1,0603,1,2.2uH,
L2,0402,1,18nH,
L3,0402,1,1.5nH,
L4,0402,1,1.6nH,
L5,0402,1,1.1nH,
L7,0402,1,2.4nH,
"R10, R3, R5, R6, R7, R8, R9",0402,7,10K,
"R11, R12, R13",0402,3,1.2K,
R4,0402,1,120K,
TH1,0402,1,ERT-J0ER104F,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32H523RCTx,
U2,QFN-32-1EP_7x7mm_P0.65mm_EP4.65x4.65mm,1,LR2021,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768MHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
Y3,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz 10pF,
